filename,doc_name,status,effective_date,type,parent_doc,regime,include_in_index,notes
DAP 2026/DRAFT_DAP2026.pdf,Draft DAP 2026,draft,,main,,capital,yes,"Released 11 Feb 2026 for public comment (comments due 3 Mar 2026); NOT in force. DAP 2020 remains operative. The document's own internal index sheet refers to itself as ""DAP 2025"" in places (e.g. ""Refers to Para 11 of Chapter I of DAP 2025"") - likely a leftover working title from drafting; treat as the same document."
DAP_2020/amendment_2011-11.pdf.pdf,DAP 2020 Amendment (BPR Phase I),in-force,2021-11-11,amendment,DAP 2020,capital,yes,"Filename reads ""2011-11"" but the MoD ID is dated 11.11.2021 (November 2021, not 2011) - filename appears to be a transposition error. First in a series of Business Process Re-engineering (BPR) amendments to DAP 2020 (MoD ID 1(8)/D(Acq)/21). Already incorporated into DAP-2020_after_BPR_Ph_V_01_APR_2024.pdf."
DAP_2020/amendment_2022-04.pdf.pdf,DAP 2020 Amendment (BPR Phase II),in-force,2022-04-13,amendment,DAP 2020,capital,yes,"MoD ID 1(8)/D(Acq)/21 dated 13 Apr 2022. Covers weapons/platforms banned for import, among other changes. Already incorporated into DAP-2020_after_BPR_Ph_V_01_APR_2024.pdf."
DAP_2020/amendment_2023-04.pdf.pdf,DAP 2020 Amendment (BPR Phase III),in-force,2023-04-01,amendment,DAP 2020,capital,yes,"Exact issue day is illegible in the source scan (MoD ID dated ""..04.2023""); DAC approved the change 16 Mar 2023, used 1 Apr as a placeholder day - confirm against the original PDF if the exact date matters. Simplifies the Technology Development Fund (TDF) Scheme procedure (Chapter III, Para 75-79). Already incorporated into DAP-2020_after_BPR_Ph_V_01_APR_2024.pdf."
DAP_2020/amendment_2024-03.pdf.pdf,DAP 2020 Amendment (BPR Phase IV),in-force,2024-01-15,amendment,DAP 2020,capital,yes,"DAC approved 30.11.2023; amendment text states it is applicable from 15.01.2024, though the MoD ID itself is dated March 2024. Covers Indigenous Content requirement changes and Startup/MSME liberalisation. Already incorporated into DAP-2020_after_BPR_Ph_V_01_APR_2024.pdf."
DAP_2020/amendment_2024-04.pdf.pdf,DAP 2020 Amendment (BPR Phase V),in-force,2024-04-01,amendment,DAP 2020,capital,yes,"DAC approved 16.02.2024; exact MoD ID issue day is illegible in the source scan, used 1 Apr as a placeholder - confirm against the original PDF if the exact date matters. Covers Defence Offset Guidelines (Appendix E, Chapter II) and Advanced Technology procurement from Startups/MSMEs. This is the phase referenced in DAP-2020_after_BPR_Ph_V_01_APR_2024.pdf's filename, which incorporates it and all four earlier phases."
DAP_2020/DAP-2020_after_BPR_Ph_V_01_APR_2024.pdf,"DAP 2020 (consolidated, incl. BPR Phases I-V)",in-force,2024-04-01,main,,capital,yes,"Most current consolidated text of DAP 2020, incorporating all five BPR amendments above (Nov 2021 - Apr 2024). Recommended as the primary file to index/cite for DAP 2020 questions."
DAP_2020/DAP2020.pdf,"DAP 2020 (original, pre-BPR text)",superseded,2020-01-01,main,,capital,no,"Original notification date not confirmed from the extracted text - 2020-01-01 is a placeholder, not a verified date. Near-duplicate of DAP_2020 _main.pdf and DAP2030new_0.pdf (same base text, only whitespace/line-wrap differences found between them); none include the 5 BPR amendments. Superseded in practice by DAP-2020_after_BPR_Ph_V_01_APR_2024.pdf. Recommend excluding from indexing to avoid duplicate/conflicting citations against the same paragraphs - retained for reference only."
DAP_2020/DAP2030new_0.pdf,"DAP 2020 (original, pre-BPR text)",superseded,2020-01-01,main,,capital,no,"Despite the filename, content confirms this is DAP 2020, not a document called ""DAP 2030"" - no such document exists among these files. Near-duplicate of DAP2020.pdf and DAP_2020 _main.pdf. Recommend excluding from indexing (see DAP2020.pdf notes)."
DAP_2020/DAP_2020 _main.pdf,"DAP 2020 (original, pre-BPR text)",superseded,2020-01-01,main,,capital,no,"Near-duplicate of DAP2020.pdf and DAP2030new_0.pdf (only whitespace/line-wrap differences found). Recommend excluding from indexing (see DAP2020.pdf notes) - of the three duplicates, any one could serve as an archival reference copy if needed."
